Run Id,Source,Key,Distance,Duration (ms),Duration,Speed,HR Average,HR Max,HR Min,Start Date,Start Date (utc),Created Date (utc),Updated Date (utc),Is Deleted,Is Manual Edit,Elevation Gained,Elevation Lost,Hill Difficulty,SPI,Description,Tags
17659609,GarminPush,46742|2019-10-27T11:02:32,17.42471,5600300,1:33:20,11.200999232184,154,180,93,27/10/19 12:03,27/10/19 11:03,27/10/19 13:14,27/10/19 13:14,False,False,98,101,2,572,encore sous la pluie ...,
17652024,GarminPush,46742|2019-10-26T09:19:45,14.5025,4505136,1:15:05,11.588773346687,159,180,75,26/10/19 11:20,26/10/19 9:20,26/10/19 10:37,26/10/19 10:37,False,False,57,58,2,586,,
17627022,GarminPush,46742|2019-10-23T09:59:21,14.07225,4758174,1:19:18,10.6469624692161,152,167,92,23/10/19 11:59,23/10/19 9:59,23/10/19 11:22,23/10/19 11:22,False,False,65,65,2,526,,
17597795,GarminPush,46742|2019-10-20T09:44:19,20.63172,6323991,1:45:23,11.7448288588646,157,181,100,20/10/19 11:44,20/10/19 9:44,20/10/19 11:37,20/10/19 11:37,False,False,78,125,2,615,,
17583428,GarminPush,46742|2019-10-18T10:06:35,14.23672,4532960,1:15:32,11.3065617168473,153,171,75,18/10/19 12:07,18/10/19 10:07,18/10/19 11:24,18/10/19 11:24,False,False,69,68,2,567,,
17564729,GarminPush,46742|2019-10-16T09:56:32,14.00878,4574112,1:16:14,11.0254423153609,155,172,79,16/10/19 11:57,16/10/19 9:57,16/10/19 11:23,16/10/19 11:23,False,False,71,74,2,549,,
17551237,GarminPush,46742|2019-10-15T09:58:56,12.27458,3998957,1:06:38,11.0500032883574,150,161,88,15/10/19 11:59,15/10/19 9:59,15/10/19 11:10,15/10/19 11:10,False,False,50,51,2,543,,
17526196,GarminPush,46742|2019-10-13T07:29:12,18.48003,5598591,1:33:18,11.8830091356915,161,177,100,13/10/19 9:29,13/10/19 7:29,13/10/19 9:09,13/10/19 9:09,False,False,82,85,2,618,,
17520325,GarminPush,46742|2019-10-12T08:19:05,12.13028,3988881,1:06:28,10.9476838241101,157,167,73,12/10/19 10:19,12/10/19 8:19,12/10/19 9:30,12/10/19 9:30,False,False,54,54,2,536,,
17493001,GarminPush,46742|2019-10-09T09:50:50,14.4841,4923234,1:22:03,10.5911602007948,151,162,79,9/10/19 11:51,9/10/19 9:51,9/10/19 11:18,9/10/19 11:18,False,False,64,64,2,524,,
17485049,GarminPush,46742|2019-10-08T10:03:42,7.22285,2611280,43:31,9.95766826996722,145,171,98,8/10/19 12:04,8/10/19 10:04,8/10/19 10:50,8/10/19 10:50,False,False,13,13,2,447,,
17465220,GarminPush,46742|2019-10-06T07:31:24,17.50934,5376100,1:29:36,11.7247863693012,162,180,80,6/10/19 9:31,6/10/19 7:31,6/10/19 9:07,6/10/19 9:07,False,False,66,72,2,605,,
17440660,GarminPush,46742|2019-10-02T10:01:46,14.20101,4333989,1:12:13,11.7959773317376,158,182,79,2/10/19 12:02,2/10/19 10:02,2/10/19 11:17,2/10/19 11:17,False,False,85,96,2,597,,
